"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/CF/Round 1066/A.cpp", "C++", 0, -43, 0, -5, -48
"/home/everlast1ng/code/CF/Round 1066/B.cpp", "C++", 0, -46, 0, -8, -54
"/home/everlast1ng/code/CF/Round 1066/C.cpp", "C++", 0, -52, 0, -10, -62
"/home/everlast1ng/code/CF/Round 1066/D.cpp", "C++", 0, -71, -1, -14, -86
"/home/everlast1ng/code/CF/Round 1067/A.cpp", "C++", 0, -27, 0, -5, -32
"/home/everlast1ng/code/CNB24/Hello WUSTACM.c", "C", -6, 0, 0, -3, -9
"/home/everlast1ng/code/CNB24/凡安要当超级矿工.c", "C", -22, 0, 0, -8, -30
"/home/everlast1ng/code/CNB24/大贤至圣先师的超级难题.c", "C", 0, 0, 0, -1, -1
"/home/everlast1ng/code/CNB24/我不想上课.c", "C", -39, 0, 0, -9, -48
"/home/everlast1ng/code/CNB24/查询（爆了）.c", "C", -35, 0, 0, -9, -44
"/home/everlast1ng/code/CNB24/沁湖鱼宴.c", "C", 0, 0, 0, -1, -1
"/home/everlast1ng/code/CNB24/邪恶的数字.cpp", "C++", 0, -39, 0, -4, -43
"/home/everlast1ng/code/CNB24/高数之挂也挂不完.cpp", "C++", 0, -34, -1, -6, -41
"/home/everlast1ng/code/algorithm/二分/三分/Binary Search.cpp", "C++", 0, -64, -1, -11, -76
"/home/everlast1ng/code/algorithm/二分/三分/Tripartite Search.cpp", "C++", 0, -26, -1, -6, -33
"/home/everlast1ng/code/algorithm/筛质因数或素数/埃氏筛质因数+线性筛素数.cpp", "C++", 0, -85, 0, -15, -100
"/home/everlast1ng/code/algorithm/高精度/Subtraction.cpp", "C++", 0, -55, -1, -15, -71
"/home/everlast1ng/code/algorithm/高精度/addition.cpp", "C++", 0, -31, -1, -9, -41
"/home/everlast1ng/code/algorithm/高精度/multiplication.cpp", "C++", 0, -33, -1, -9, -43
"/home/everlast1ng/code/atcoder/ABC 420/A.cpp", "C++", 0, -26, -1, -5, -32
"/home/everlast1ng/code/atcoder/ABC 420/B.cpp", "C++", 0, -67, -1, -9, -77
"/home/everlast1ng/code/atcoder/ABC 420/C.cpp", "C++", 0, -68, -1, -7, -76
"/home/everlast1ng/code/atcoder/ABC 420/D.cpp", "C++", 0, -24, -1, -6, -31
"/home/everlast1ng/code/atcoder/ABC 421/A.cpp", "C++", 0, -38, -1, -5, -44
"/home/everlast1ng/code/atcoder/ABC 421/B.cpp", "C++", 0, -34, -1, -8, -43
"/home/everlast1ng/code/atcoder/ABC 421/C.cpp", "C++", 0, -93, -3, -11, -107
"/home/everlast1ng/code/atcoder/ABC 422/A.cpp", "C++", 0, -32, -1, -5, -38
"/home/everlast1ng/code/atcoder/ABC 422/B.cpp", "C++", 0, -50, -1, -6, -57
"/home/everlast1ng/code/atcoder/ABC 422/C.cpp", "C++", 0, -28, 0, -5, -33
"/home/everlast1ng/code/atcoder/ABC 422/D.cpp", "C++", 0, -39, -1, -8, -48
"/home/everlast1ng/code/atcoder/ABC 422/E.cpp", "C++", 0, -53, -1, -7, -61
"/home/everlast1ng/code/atcoder/ABC 423/A.cpp", "C++", 0, -27, -1, -5, -33
"/home/everlast1ng/code/atcoder/ABC 423/B.cpp", "C++", 0, -48, -1, -5, -54
