Date : 2026-01-21 01:19:32
Directory : /home/everlasting/acm_training
Total : 184 files,  10791 codes, 101 comments, 873 blanks, all 11765 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        160 |      5,704 |        101 |        822 |      6,627 |
| Markdown |          8 |      5,093 |          0 |         52 |      5,145 |
| JSON     |          2 |          2 |          0 |          0 |          2 |
| PHP      |          1 |          1 |          0 |          0 |          1 |
| C        |         13 |         -9 |          0 |         -1 |        -10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/everlasting/acm_training/niuke/技能树/第二章/前缀和与差分/abb.cpp                       | C++      |         34 |          1 |          4 |         39 |
| /home/everlasting/acm_training/niuke/技能树/第二章/前缀和与差分/小红的双排列删除得分.cpp                | C++      |         44 |          1 |          7 |         52 |
| /home/everlasting/acm_training/niuke/技能树/第二章/动态规划入门/线性dp/子数组绝对值的最大值.cpp           | C++      |         23 |          1 |          2 |         26 |
| /home/everlasting/acm_training/niuke/技能树/第二章/动态规划入门/线性dp/宵暗的妖怪.cpp                | C++      |         29 |          1 |          5 |         35 |
| /home/everlasting/acm_training/niuke/技能树/第二章/动态规划入门/线性dp/小苯的最大和.cpp               | C++      |         30 |          0 |          5 |         35 |
| /home/everlasting/acm_training/niuke/技能树/第二章/最大公约数和最小公倍数/一道GCD问题.cpp              | C++      |         39 |          1 |          7 |         47 |
| /home/everlasting/acm_training/niuke/技能树/第二章/最大公约数和最小公倍数/冰冻青蛙.cpp                 | C++      |         56 |          1 |          8 |         65 |
| /home/everlasting/acm_training/niuke/技能树/第二章/最大公约数和最小公倍数/小红与gcd三角形.cpp            | C++      |         34 |          0 |          5 |         39 |
| /home/everlasting/acm_training/niuke/技能树/第二章/最大公约数和最小公倍数/小红的数字分裂.cpp              | C++      |         39 |          1 |          7 |         47 |
| /home/everlasting/acm_training/niuke/技能树/第二章/简单数学/小红和小紫的取素因子游戏.cpp                | C++      |         27 |          0 |          7 |         34 |
| /home/everlasting/acm_training/niuke/技能树/第二章/质数和约数/小红和小紫的取素因子游戏.cpp               | C++      |         33 |          0 |          3 |         36 |
| /home/everlasting/acm_training/niuke/技能树/第二章间章/几何/【模板】点线位置关系.cpp                  | C++      |         33 |          0 |          2 |         35 |
